1	TheThing	JohnCarpenter	1982
2	Halloween	JohnCarpenter	1978
3	Alien	RidleyScott	1979
4	TheExorcist	WilliamFriedkin	1973
5	ANightmareonElmStreet	WesCraven	1984
6	TheCabinintheWoods	DrewGoddard	2012
7	EvilDeadII	SamRaimi	1987
8	TheEvilDead	SamRaimi	1981
9	28DaysLater	DannyBoyle	2003
10	Hellraiser	CliveBarker	1987
11	TheDescent	NeilMarshall	2005
12	TheTexasChainSawMassacre	TobeHooper	1974
13	TrickrTreat	MichaelDougherty	2007
14	TheBlairWitchProject	DanielMyrick&EduardoSànchez	1999
15	Scream	WesCraven	1996
16	Psycho	AlfredHitchcock	1960
17	NightoftheLivingDead	GeorgeARomero	1968
18	TheSilenceoftheLambs	JonathanDemme	1991
19	TheFly	DavidCronenberg	1986
20	REC	JaumeBalaguerÑ&PacoPlaza	2007
21	DawnoftheDead	GeorgeARomero	1978
22	LettheRightOneIn	TomasAlfredson	2008
23	RosemarysBaby	RomanPolanski	1968
24	Re-Animator	StuartGordon	1985
25	ShaunoftheDead	EdgarWright	2004
26	EvilDead	FedeAlvarez	2013
27	TheConjuring	JamesWan	2013
28	TuckerandDalevsEvil	EliCraig	2010
29	EventHorizon	PaulWSAnderson	1997
30	TheRing	GoreVerbinski	2002
31	Suspiria	DarioArgento	1977
32	AnAmericanWerewolfinLondon	JohnLandis	1981
33	Jaws	StevenSpielberg	1975
34	DeadAlive	PeterJackson	1992
35	Poltergeist	TobeHooper	1982
36	Se7en	DavidFincher	1995
37	Fridaythe13th	SeanSCunningham	1980
38	AmericanPsycho	MaryHarron	2000
39	PansLabyrinth	GuillermodelToro	2006
40	Creepshow	GeorgeARomero	1982
41	TheHouseoftheDevil	TiWest	2009
42	Videodrome	DavidCronenberg	1983
43	Saw	JamesWan	2004
44	TheDevilsRejects	RobZombie	2005
45	TheMist	FrankDarabont	2007
46	DawnoftheDead	ZackSnyder	2004
47	TheReturnoftheLivingDead	DanOBannon	1985
48	TheWickerMan	RobinHardy	1973
49	Pontypool	BruceMcDonald	2008